Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E06000021,Stoke-on-Trent,0.3235294117647059,0.3105718944533512,0.47874481474450287,0.29411764705882354,0.2682147708610078,0.08237274276121632,0.5588235294117647,0.5317752308403487,0.7502082792295011,0.38235294117647056,0.40136715419001745,920,1.4623522600949275,304,10,162.8111738361519,294,10,England,4,3,5,5,5,Central
E07000033,Bolsover,0.4,0.39442600276625167,0.6971927902958622,0.2,0.23353934629103879,0.35698375174008473,0.6,0.5398088771532755,0.8729736145391426,0,0.08053475351902956,3,0.4118751004557678,211,7,161.10524721438057,291,10,England,5,4,5,4,5,Central
E07000034,Chesterfield,1,0.9070489584150766,0.975529487347202,0.6153846153846154,0.5211175734381257,0.5931338405394974,0.6923076923076923,0.5653793238400509,0.7362597958170026,0,0.06300270834213643,5,0.26461294521575185,196,7,194.09179194619662,307,10,England,5,5,5,4,5,Central
E07000137,East Lindsey,1,0.9930007864389945,1.3074190232495368,0.5,0.49073854960904295,0.7053854166226686,0.6111111111111112,0.5172606718051336,0.8105998111054835,0.1111111111111111,0.11895865828945217,NA,-0.14205116652882127,143,5,242.2505295679124,317,10,England,5,5,5,3,5,Central
E07000145,Great Yarmouth,0.5384615384615384,0.5424555489054729,0.7481048192338177,0.46153846153846156,0.4358578253523514,0.5062510893377882,0.5384615384615384,0.5799824949815416,0.91828270155176,0.5384615384615384,0.4112472789097631,NA,0.03798632242225963,166,6,177.6656095538652,304,10,England,5,5,5,3,5,Central
E07000147,North Norfolk,1,0.9970789654908563,1.2921147113648708,0.6428571428571429,0.6808264635880006,0.8990336884071572,0,0,-0.13714625443731132,0,0.031229863960919972,NA,-0.2129524204835468,132,5,205.4561826042349,312,10,England,5,5,3,3,5,Central
E07000235,Malvern Hills,0.8181818181818182,0.8441981151462759,1.0109410988470708,0.6363636363636364,0.5796301848806081,0.8115476462331633,0.09090909090909091,0.07040239275489557,-0.30238322339840074,0,0,NA,-0.3601622265405374,113,4,165.91904628182547,298,10,England,5,5,2,2,5,Central
E08000028,Sandwell,0.02631578947368421,0.029598394387816942,-0.05315678467675738,0.02631578947368421,0.016741375091596997,-0.4074176874919485,0.5263157894736842,0.461571598708848,0.719163362445354,1,0.9879984621028773,904,1.6914698634061491,316,10,162.2239446108217,293,10,England,3,2,5,5,5,Central
E08000031,Wolverhampton,0.06060606060606061,0.0267674028434648,-0.017758673572501237,0.21212121212121213,0.20175378333164593,0.061987829035532224,0.42424242424242425,0.4118603851389029,0.6796184687938478,0.8484848484848485,0.8425425539437125,772,1.6423570308066175,315,10,167.37115275491098,299,10,England,3,3,5,5,5,Central
E06000012,North East Lincolnshire,0.391304347826087,0.3862110703454753,0.6120332786397485,0.13043478260869565,0.16100626062249246,0.10104030569440504,0.6086956521739131,0.5027382607976885,0.6786757308521774,0.6086956521739131,0.5320183698934235,80,1.1757851211110681,281,9,143.3411602973738,270,9,England,4,3,5,5,5,Central
E06000015,Derby,0,0,-0.15011771145835237,0.16129032258064516,0.16618525323628933,-0.08377220052407612,0.3870967741935484,0.34032268957367795,0.31380998475895733,0.6129032258064516,0.6914553652595641,713,1.5659699549298143,311,10,130.22355444297287,257,9,England,3,3,4,5,5,Central
E07000038,North East Derbyshire,0.8461538461538461,0.8287125886409472,0.9073983647340115,0.46153846153846156,0.4280363541734435,0.6237407879416583,0.15384615384615385,0.24801912692733066,0.22403998847541,0.07692307692307693,0.07490729295426453,NA,-0.9004142912151811,58,2,145.0168640109043,275,9,England,5,5,4,2,5,Central
E07000140,South Holland,0.7272727272727273,0.7422544550352258,0.9348607927532449,0.18181818181818182,0.23078465742991228,0.4294970591763829,0,0.07072893448774095,-0.07497258263229496,0.09090909090909091,0.06630069667678452,NA,-0.16386794369148733,139,5,130.02097869369902,256,9,England,5,4,3,3,5,Central
E07000142,West Lindsey,0.6363636363636364,0.7112602086755642,0.9315934037293778,0.36363636363636365,0.48572699417645715,0.5437770370890859,0.18181818181818182,0.1939516596570007,0.14107086549225545,0,0,NA,-0.8403189086916973,67,3,140.11659258880252,266,9,England,5,5,3,2,5,Central
E07000239,Wyre Forest,0.9285714285714286,0.877419437156347,1.0524882835882319,0.07142857142857142,0.08710137810140516,0.14453966630823348,0.14285714285714285,0.11490822725809795,0.15013342967322973,0.5,0.5920336031347093,NA,0.49086876129614787,221,7,144.41534002521263,274,9,England,5,3,3,4,5,Central
E07000244,East Suffolk,0.6666666666666666,0.5930833770253169,0.8136421367262061,0.6,0.5140618258705023,0.6622501852225939,0.23333333333333334,0.2213657933852916,0.08547997825642047,0.1,0.09271175311884439,8,0.0546161042492843,169,6,146.58128595189282,278,9,England,5,5,3,3,5,Central
E08000025,Birmingham,0,2.9819323026457546e-4,-0.5576577778401264,0.06818181818181818,0.05735241725739051,-0.4366921360821622,0.3712121212121212,0.3483324899361831,0.47082901905984037,0.8712121212121212,0.8582643260159293,1468,1.7023913392832384,317,10,145.99800684818018,277,9,England,2,2,4,5,5,Central
E08000027,Dudley,0.4883720930232558,0.4892290558568484,0.7310986411632707,0.16279069767441862,0.1554257756290572,-0.04268247680688052,0.3023255813953488,0.30600969911820525,0.3609636661796885,0.6976744186046512,0.738539688970294,238,1.429528939632756,300,10,146.66199992296885,279,9,England,5,3,4,5,5,Central
E08000030,Walsall,0.3076923076923077,0.286005942964038,0.3747204898831536,0.10256410256410256,0.08166077966903793,-0.13404883225987468,0.5897435897435898,0.5303680856256345,0.6575295425112101,0.9487179487179487,0.9222934607336825,409,1.5441204595277576,309,10,150.97250146509617,283,9,England,4,3,5,5,5,Central
E06000018,Nottingham,0.02631578947368421,0.016018826414147088,-0.6492173339562939,0.13157894736842105,0.0918932863573836,-0.41497066184307074,0.34210526315789475,0.3180138072664452,0.3308698334944766,0.7368421052631579,0.6772789215032452,841,1.5987191140493666,314,10,126.14417627943911,248,8,England,2,2,4,5,4,Central
E07000032,Amber Valley,0.375,0.48815795705813575,0.7347144718739423,0.0625,0.12935966532634338,0.31322291450060225,0.1875,0.187208035125943,0.10336456838791332,0.0625,0.10763055687815187,1,0.12267738313277812,181,6,109.69815445468763,225,8,England,5,4,3,3,4,Central
