Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E06000001,Hartlepool,0.3333333333333333,0.38600935426659994,0.6868584234594047,0.25,0.24808867474449617,0.28968626840670353,0.75,0.6865774571883689,1.087115085970479,0,0,283,0.13663732473340362,183,6,170.11617198193372,301,10,England,5,4,5,3,5,North
E06000006,Halton,0.625,0.4765306891871512,0.7245189243674541,0.0625,0.04577558552385698,-0.1445047188534053,0.6875,0.673399029918761,0.8886748166828252,0.3125,0.3149507337079462,141,0.8621422295022415,259,9,157.87210969122876,290,10,England,5,3,5,4,5,North
E06000009,Blackpool,0.9473684210526315,0.9377871916789929,1.1593038898931514,0.3157894736842105,0.4025774946680797,0.512375156386767,0.7368421052631579,0.6954283199114399,1.0915995554880238,0,0,NA,-1.707848805397844,1,1,226.55100600111572,316,10,England,5,5,5,1,5,North
E06000057,Northumberland,0.95,0.920329089927276,1.0834629239462976,0.375,0.35836640534437125,0.42451735136089885,0.25,0.23651856650374692,0.11862492104531144,0,0.004747826121252095,164,0.05476878936644147,171,6,155.98836470047075,286,10,England,5,4,3,3,5,North
E07000029,Copeland,1,0.9379184819730843,1.1167210014995064,0.25,0.2826689773363608,0.5207692409183029,0.625,0.5843797497953934,0.8560182603133247,0,0,NA,-0.8022278879033871,69,3,202.8435282648967,311,10,England,5,5,5,2,5,North
E07000117,Burnley,0.25,0.22481627668751664,0.4983230924518392,0.25,0.1790636873793484,0.1868217383319692,0.6666666666666666,0.7078916750346163,1.0353161408827243,0,0.08887927738965155,56,0.431120192110207,214,7,157.65544005584619,289,10,England,4,4,5,4,5,North
E07000119,Fylde,0.8888888888888888,0.8702948608829331,1.1141201690979696,0.6666666666666666,0.7096037951215006,0.9599138780062814,0.1111111111111111,0.12520737251176078,0.11572330145802784,0,0,15,-0.6136224869875047,90,3,208.02507869980144,313,10,England,5,5,3,2,5,North
E07000120,Hyndburn,0.2222222222222222,0.16755122974174277,0.505031357125438,0.2222222222222222,0.23128985304317526,0.29354048720482556,0.7777777777777778,0.6773914756575283,0.9910189605396077,0.2222222222222222,0.27331641142700835,34,0.9111634510314788,262,9,173.87593863277584,303,10,England,4,4,5,4,5,North
E07000128,Wyre,1,0.9812336713771337,1.294982181639843,0.5714285714285714,0.5673588906497472,0.8324107813948217,0.2857142857142857,0.342838096247605,0.4372736742944525,0,0,22,-0.34902481028346866,115,4,217.63659074833427,315,10,England,5,5,4,2,5,North
E07000163,Craven,0.75,0.7549506486338312,0.9315624134243081,0.75,0.6450810236634661,0.858450377658875,0,0,-0.3229010766991749,0,0,NA,-1.0585128549098703,41,2,157.5203116013859,288,10,England,5,5,2,1,5,North
E07000168,Scarborough,0.9285714285714286,0.869984036662433,1.069901222374414,0.5,0.48227316862086056,0.5068333470131008,0.35714285714285715,0.3775693567810786,0.5890671853697146,0.07142857142857142,0.06436915774759146,NA,-0.28385367443827225,123,4,172.9749966769163,302,10,England,5,5,5,3,5,North
E08000011,Knowsley,0.2,0.2398413321749326,0.5874971054554291,0.05,0.09252242114201001,-0.11639817514818496,0.75,0.7557754300105318,1.1649189117048884,0.5,0.47420228872118114,156,1.2167422915621227,283,9,187.3158624510237,305,10,England,4,3,5,5,5,North
