Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
S12000018,Inverclyde,0.35294117647058826,0,0.3689138606742829,0.6470588235294118,0,0.6925863858649858,0.47058823529411764,0,0.5736571988575833,0.6470588235294118,0,NA,0.15969280121917512,20,7,207.00165860866468,30,10,Scotland,4,5,5,4,5,Scotland
S12000039,West Dunbartonshire,0.4444444444444444,0,0.5832806112752121,0.5,0,0.6127085484758769,0.4444444444444444,0,0.6032226478326513,0.7222222222222222,0,NA,0.9061885828838576,30,10,301.96579343553947,32,10,Scotland,5,5,5,5,5,Scotland
S12000049,Glasgow City,0.5441176470588235,0,0.6364576006429057,0.4411764705882353,0,0.4014271261377469,0.5073529411764706,0,0.5769514992726003,0.3088235294117647,0,3784,1.119682573659514,32,10,299.5531041640956,31,10,Scotland,5,5,5,5,5,Scotland
S12000050,North Lanarkshire,0.4230769230769231,0,0.569595398922313,0.16666666666666666,0,0.2076249064687173,0.3974358974358974,0,0.5749452302407992,0.20512820512820512,0,3,0.8531083596099895,28,9,183.07908251303448,29,10,Scotland,5,4,5,5,5,Scotland
S12000008,East Ayrshire,0.3333333333333333,0,0.4971826823722496,0.4,0,0.41368050528446104,0.36666666666666664,0,0.4684156362968915,0.13333333333333333,0,2,0.506596096694613,25,9,164.03849426963694,26,9,Scotland,5,5,5,5,5,Scotland
S12000021,North Ayrshire,0.47368421052631576,0,0.5292535376140606,0.5263157894736842,0,0.4942597415821987,0.5,0,0.5784644280204316,0.18421052631578946,0,NA,-0.5331606478665509,6,2,177.61273050304084,28,9,Scotland,5,5,5,3,5,Scotland
S12000038,Renfrewshire,0.34210526315789475,0,0.2999659076932489,0.23684210526315788,0,0.1214730777946824,0.2631578947368421,0,0.15611979476686155,0.23684210526315788,0,NA,0.15996163610421738,23,8,111.98234003058906,25,9,Scotland,4,4,4,4,4,Scotland
S12000042,Dundee City,0.3548387096774194,0,0.2972501146269418,0.4838709677419355,0,0.5880408859443143,0.3870967741935484,0,0.4016339635032187,0.22580645161290322,0,3,0.7998081805210869,27,9,166.4317479325506,27,9,Scotland,4,5,5,5,5,Scotland
S12000005,Clackmannanshire,0.08333333333333333,0,-0.09928116172724483,0.08333333333333333,0,0.2737938666724907,0.08333333333333333,0,0.36424827026053325,0.08333333333333333,0,NA,-0.9064818573039035,3,1,90.88460948153505,22,8,Scotland,3,4,5,2,4,Scotland
S12000028,South Ayrshire,0.28,0,0.35370291112382807,0.28,0,0.2510026997040425,0.2,0,0.1156247828184591,0.04,0,1,2.077360475327139e-4,17,6,111.5788387389266,24,8,Scotland,4,4,4,4,4,Scotland
S12000029,South Lanarkshire,0.17073170731707318,0,0.18576752212558595,0.2804878048780488,0,0.2147764533749831,0.2682926829268293,0,0.2955517435677151,0.10975609756097561,0,NA,-0.4264625315487304,7,3,93.23534354302402,23,8,Scotland,4,4,5,3,4,Scotland
S12000035,Argyll and Bute,0,0,-0.20720133490578424,0.043478260869565216,0,-0.39338984254445925,0.08695652173913043,0,-0.18186973339164222,0.782608695652174,0,NA,0.9061397038138499,29,10,84.72189075109694,20,7,Scotland,2,2,3,5,4,Scotland
S12000040,West Lothian,0.05405405405405406,0,-0.041597593608878686,0.16216216216216217,0,0.08770886920086268,0.10810810810810811,0,0.049289417467624524,0,0,NA,-0.3196910966258983,11,4,71.27109704220058,19,7,Scotland,3,4,4,3,4,Scotland
S12000048,Perth and Kinross,0,0,-0.5471010827390078,0.02857142857142857,0,-0.4399582045521102,0,0,-0.42839573503878586,0.22857142857142856,0,3,0.9064085386988922,31,10,85.70849190651803,21,7,Scotland,1,2,2,5,4,Scotland
