Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E06000046,Isle of Wight,0.4444444444444444,0.41975130725540694,0.7218347135067309,0.7222222222222222,0.6973236683323281,0.9483072705843613,0.3333333333333333,0.20055605301458931,0.4022638195281722,0,0,NA,-1.1950367564133855,24,1,165.13908137335707,297,10,England,5,5,4,1,5,South East
E07000061,Eastbourne,0.5384615384615384,0.4627931317728209,0.6798753658463166,0.6153846153846154,0.611650782637089,0.8372960250305054,0.3076923076923077,0.26557608518193504,0.4185692755835847,0,0,3,-0.23730380248313002,130,5,161.76733657190326,292,10,England,5,5,4,3,5,South East
E07000064,Rother,0.8181818181818182,0.7550764141683136,0.990931828553441,0.7272727272727273,0.6795697466359718,0.9812737866374732,0.2727272727272727,0.2164940268417971,0.27622121469709604,0,0,NA,-1.0749659582441844,38,2,199.0485581358919,308,10,England,5,5,4,1,5,South East
E07000076,Tendring,0.7222222222222222,0.7213157479612903,1.0753739120338992,0.5,0.4838320054781921,0.662668760890969,0.4444444444444444,0.4226517972881216,0.6683346603001815,0.05555555555555555,0.09700273295943299,2,0.0681681584655039,173,6,200.33799271575913,309,10,England,5,5,5,3,5,South East
E07000224,Arun,0.5789473684210527,0.5959672185023741,0.8093559438066434,0.631578947368421,0.6415744754278722,0.8536692045369308,0.10526315789473684,0.14733634689876848,0.06059444150937788,0,0,2,-0.3027912146424377,120,4,163.80902971934583,295,10,England,5,5,3,3,5,South East
E07000062,Hastings,0,0.044080357319986725,0.2855349864900788,0.45454545454545453,0.4996123270860906,0.569809154083116,0.6363636363636364,0.5244219481988046,0.8529507032789783,0,0,81,0.09836962545238265,177,6,153.7127820499113,285,9,England,4,5,5,3,5,South East
E07000114,Thanet,0.4117647058823529,0.3415097116005167,0.660590589083125,0.5882352941176471,0.5264587070027362,0.4965657282330231,0.47058823529411764,0.47260566749091965,0.7354802587126438,0,0.005535113140878976,2,-0.11731152808846688,147,5,143.3323130302882,269,9,England,5,4,5,3,5,South East
E07000223,Adur,0.625,0.5773633283917492,0.8883408222187871,0.5,0.46863106308883884,0.6130273450916794,0,0.06852344148507923,0.043845152438479015,0,0,6,-0.5400295806467861,96,4,140.50366682657136,267,9,England,5,5,3,2,5,South East
E06000033,Southend-on-Sea,0,0.017400788104985666,-0.04872787525469368,0.5882352941176471,0.5253045534538077,0.5907357819840698,0.17647058823529413,0.2242882839693238,0.29725834338070795,0,0.005514037885691027,49,0.1938098459791988,190,7,114.30530968302729,236,8,England,3,5,4,3,4,South East
E07000063,Lewes,0.38461538461538464,0.4222681718896634,0.5282258807650334,0.6153846153846154,0.6216908043292065,0.7108411313725888,0.07692307692307693,0.09404790444928016,-0.06332890078972474,0,0,NA,-1.3150006750005767,18,1,114.18878359306554,235,8,England,4,5,3,1,4,South East
