Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
E06000027,Torbay,0.8823529411764706,0.8075950260095666,1.0237834779459218,0.5882352941176471,0.6035856765200673,0.685993562069191,0.5294117647058824,0.5124754440232264,0.8678401945934439,0,0,1,-0.27555841446839446,124,4,214.117878014739,314,10,England,5,5,5,3,5,South and the Channel Islands
E07000040,East Devon,0.9,0.8260856856415866,0.9116081821395728,0.6,0.559473024113948,0.6668850884993991,0,0.022092794261754912,-0.3137502501459821,0,0,1,-0.8701844684208303,62,2,134.75141368080656,262,9,England,5,5,2,2,5,South and the Channel Islands
E06000026,Plymouth,0.0625,0.061848726719878365,0.19208201650722673,0.1875,0.1618913060873392,-0.07780412350615165,0.4375,0.45336616055532214,0.5877734639597316,0.09375,0.11793100482106061,280,0.949472593415728,264,9,110.61517875898247,228,8,England,3,3,5,5,4,South and the Channel Islands
E06000059,Dorset,0.7659574468085106,0.758041237790772,0.9509638634818776,0.425531914893617,0.4059841852509004,0.5083626121670127,0.06382978723404255,0.06855613910201816,-0.11370214704493316,0,0,NA,-1.1077456543871682,32,2,126.21366132154547,250,8,England,5,5,3,1,4,South and the Channel Islands
E07000043,North Devon,0.5714285714285714,0.4733051492533226,0.6977536150322244,0.14285714285714285,0.1799520286513808,0.4368436099273063,0.14285714285714285,0.170312854240481,0.1760565865202474,0,0,NA,-0.6985622063173935,82,3,108.02783730725147,222,8,England,5,4,4,2,4,South and the Channel Islands
E07000045,Teignbridge,0.47368421052631576,0.4960391214705337,0.7449183567583761,0.42105263157894735,0.40605318228424636,0.6087840009437187,0.10526315789473684,0.08877846829443001,0.010153989164621229,0,0,NA,-1.3477367468243726,16,1,116.96706879369516,241,8,England,5,5,3,1,4,South and the Channel Islands
E07000046,Torridge,0.7777777777777778,0.720644588740242,0.850612419169235,0.3333333333333333,0.26597298869173724,0.360191123644212,0,0.07964562912203976,0.2350421594225421,0,0,NA,-1.0804256055747494,37,2,113.44878512545966,234,8,England,5,4,4,1,4,South and the Channel Islands
E07000047,West Devon,0.8571428571428571,0.6187673928373736,0.7884784225515956,0.5714285714285714,0.49020911214067436,0.6081002555967046,0,0.005735844979109631,-0.028910764728269252,0,0,3,-0.5209786172127324,98,4,126.1903711734639,249,8,England,5,5,3,2,4,South and the Channel Islands
E07000187,Mendip,0.5,0.4118770498900693,0.6591421560341474,0.35714285714285715,0.3945138653773997,0.5585315454310991,0.07142857142857142,0.09970294203750424,0.026846477801274127,0,0,NA,-0.6657061676158311,83,3,109.9998418130985,226,8,England,5,5,3,2,4,South and the Channel Islands
E07000189,South Somerset,0.6666666666666666,0.6353187584088213,0.7974003994363081,0.4166666666666667,0.3793562907154698,0.4817884761389662,0.08333333333333333,0.0879458223423578,0.08517938396195329,0,0.02988224279549589,NA,-0.26201072268409353,126,5,123.54420899946416,247,8,England,5,4,3,3,4,South and the Channel Islands
E07000246,Somerset West and Taunton,0.47368421052631576,0.42381521994189064,0.6925524020591309,0.42105263157894735,0.39739877897856435,0.47687866403947426,0.2631578947368421,0.20050789237662023,0.19377794613381089,0.05263157894736842,0.05329406585497838,NA,-0.1583057792108311,140,5,116.48973109998965,240,8,England,5,4,4,3,4,South and the Channel Islands
E06000052,Cornwall,0.6164383561643836,0.5384219788509522,0.6895469808199678,0.1232876712328767,0.1234744395070876,0.14481240884895766,0.1643835616438356,0.17697315414522224,0.2718931066178763,0,0.004208992846164259,5,-0.06815943360166636,153,5,98.07987892355186,204,7,England,5,3,4,3,4,South and the Channel Islands
E07000080,Forest of Dean,0.7,0.6926685061335497,0.8167285977015938,0.2,0.13756854669750418,0.1895254962497808,0.1,0.1153329619532,0.03783505801315099,0,0,NA,-0.8894666407465792,59,2,96.60889153021085,201,7,England,5,4,3,2,4,South and the Channel Islands
E07000188,Sedgemoor,0.42857142857142855,0.4363349319704127,0.7395513637807496,0.21428571428571427,0.26894498525307653,0.28861121664730605,0.2857142857142857,0.24321703673636288,0.2963535212779198,0.14285714285714285,0.14843722474088406,NA,-0.3274763226838074,117,4,105.30146646490707,214,7,England,5,4,4,3,4,South and the Channel Islands
