Code,Name,Proportion of neighbourhoods in 20% most clinically vulnerable,Extent of population living in highly clinically vulnerable areas,Population-weighted clinical vulnerability score,Proportion of neighbourhoods in 20% most health/wellbeing vulnerable,Extent of population living in highly health/wellbeing vulnerable areas,Population-weighted health/wellbeing vulnerability score,Proportion of neighbourhoods in 20% most economically vulnerable,Extent of population living in highly economically vulnerable areas,Population-weighted economic vulnerability score,Proportion of neighbourhoods in 20% most socially vulnerable,Extent of population living in highly socially vulnerable areas,People receiving Section 95 support,Social Vulnerability score,Social Vulnerability rank,Social Vulnerability decile,Vulnerability score,Vulnerability rank,Vulnerability decile,Country,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Vulnerability quintile,TacticalCell
W06000019,Blaenau Gwent,0.4444444444444444,0,0.7971578539184571,0.3333333333333333,0,0.4644475902891115,0.7777777777777778,0,0.9494602673133042,0.3333333333333333,0,NA,0.3849952517545091,19,9,286.07359331924454,22,10,Wales,5,5,5,4,5,Wales
W06000020,Torfaen,0.15384615384615385,0,0.2977137174631825,0.46153846153846156,0,0.7161983199976472,0.46153846153846156,0,0.47234320987228284,0,0,NA,-0.46199430210541104,4,2,174.6142957299877,20,10,Wales,4,5,4,2,5,Wales
W06000024,Merthyr Tydfil,0.5714285714285714,0,0.7111323993949719,0,0,0.4108714323227672,0.2857142857142857,0,0.6222831836489968,0.42857142857142855,0,NA,0.8469895538599199,21,10,217.78881159368848,21,10,Wales,5,4,5,5,5,Wales
W06000012,Neath Port Talbot,0.2631578947368421,0,0.5721371110685691,0.3157894736842105,0,0.37456339285743173,0.42105263157894735,0,0.6656746356899099,0.3157894736842105,0,NA,1.1102230246251565e-16,11.5,6,163.86909780904955,19,9,Wales,5,4,5,3,5,Wales
W06000016,Rhondda Cynon Taf,0.41935483870967744,0,0.559786761135893,0.16129032258064516,0,0.2508659574944488,0.2903225806451613,0,0.3582461755756946,0.0967741935483871,0,1,0.38499525175450894,18,9,133.7377261800989,18,9,Wales,5,4,4,4,5,Wales
W06000018,Caerphilly,0.25,0,0.41479560402851917,0.25,0,0.29333101716744714,0.2916666666666667,0,0.39583226627137497,0.041666666666666664,0,NA,0.07699905035090185,13,7,117.59198463021511,17,9,Wales,4,4,4,3,4,Wales
W06000004,Denbighshire,0.13333333333333333,0,0.11420169246283868,0.4666666666666667,0,0.6224128584929088,0.13333333333333333,0,0.159467707445982,0.13333333333333333,0,NA,-0.5389933524563126,3,2,110.77805524964003,15,8,Wales,3,5,3,2,4,Wales
W06000013,Bridgend,0.42105263157894735,0,0.40946161971538336,0.3157894736842105,0,0.4811100806990174,0.3157894736842105,0,0.2675822640260629,0.10526315789473684,0,NA,-0.46199430210541087,5,3,116.36186147647783,16,8,Wales,4,5,4,2,4,Wales
W06000011,Swansea,0.25806451612903225,0,0.14217990440442335,0.16129032258064516,0,-0.018451445046784743,0.25806451612903225,0,0.12506608634994407,0,0,800,0.5389933524563125,20,10,109.79472329424405,14,7,Wales,3,3,3,4,4,Wales
W06000023,Powys,0.05263157894736842,0,-0.713165692578475,0.10526315789473684,0,-0.8957060432318751,0,0,-0.7070220228485804,0.6842105263157895,0,NA,0.9239886042108219,22,10,103.37792821736177,13,7,Wales,1,1,1,5,4,Wales
